path,description
/NR/NR0110/ESSPROST4,"""National accounts"", ""Social protection expenditure and receipts in Sweden and Europe (ESSPROS)"", ""Total expenditure and receipts by scheme. Year 1993 - 2022"""
/NR/NR0110/ESSPROST8,"""National accounts"", ""Social protection expenditure and receipts in Sweden and Europe (ESSPROS)"", ""Gross and net social cash benefits for Sweden. Year 2019 - 2022"""
/NR/NR0110/ESSPROST3,"""National accounts"", ""Social protection expenditure and receipts in Sweden and Europe (ESSPROS)"", ""Social protection expenditure by function. Year 1993 - 2022"""
/NR/NR0110/ESSPROST5,"""National accounts"", ""Social protection expenditure and receipts in Sweden and Europe (ESSPROS)"", ""Total expenditure, total receipts, and expenditure by function in relation to (%) GDP (million SEK). Year 1993 - 2022"""
/NR/NR0108/FirBruttoKonvKv,"""National accounts"", ""Excessive Deficit Procedure"", ""General government consolidated gross debt according to the euro convergence criteria. Quarterly 1996K1 - 2023K4"""
/NR/NR0108/FirBruttoKonvAr,"""National accounts"", ""Excessive Deficit Procedure"", ""General government consolidated gross debt according to the euro convergence criteria. Year 1996 - 2023"""
/NV/NV0004/NV0004T1,"""Business activities"", ""Business Production Index"", ""Business Production Index by industry (Sic 2007). Monthly index, 2010=100 2000M01 - 2017M08"""
/NV/NV0101/FDBR,"""Business activities"", ""Business Database"", ""Enterprises and employees (FDB) by industrial classification SNI 2002 and size class. Year 2003 - 2007"""
/NV/NV0101/FDBR07,"""Business activities"", ""Business Database"", ""Enterprises and employees (FDB) by industrial classification SNI 2007 and size class. Year 2008 - 2013"""
/NV/NV0101/FDBR07N,"""Business activities"", ""Business Database"", ""Enterprises (FDB) by industrial classification SNI 2007 and size class. Year 2008 - 2023"""
/NV/NV0103/FtgBalK,"""Business activities"", ""Balance statistics"", ""Corporations Financial Assets and Liabilities by item. Quarterly 1998K2 - 2023K4"""
/NV/NV0118/FtgHkuK,"""Business activities"", ""Non financial corporations: Foreign trade credits"", ""Corporations Foreign Trade Credits by item. Quarterly 1997K1 - 2023K4"""
/OE/OE0101/Kommunalskatter2000,"""Public finances"", ""Local taxes"", ""Local tax rates. Year 2000 - 2024"""
/OE/OE0101/Kommunalskatt80,"""Public finances"", ""Local taxes"", ""Local tax rates by region. Year 1974-1992 1974 - 1992"""
/OE/OE0101/Kommunalskatt,"""Public finances"", ""Local taxes"", ""Local tax rates by region. Year 1993-1999 1993 - 1999"""
/OE/OE0106/KTS,"""Public finances"", ""Financial assets and liabilities for municipalities and county councils"", ""Financial assets and liabilities for municipalities and county councils account by item. Quarterly 2002K1 - 2024K1"""
/OE/OE0108/KomFtgK100,"""Public finances"", ""Publicly owned enterprises"", ""Enterprises by ownership and estimated annual profit by municipality. Year 2015 - 2022"""
/OE/OE0108/KomFtgKg,"""Public finances"", ""Publicly owned enterprises"", ""Municipality-owned enterprises by municipal groups and sector. Year 2015 - 2022"""
/OE/OE0108/OffFtg,"""Public finances"", ""Publicly owned enterprises"", ""Publicly owned enterprises by sector, type of ownership and legal form. Year 2015 - 2022"""
/OE/OE0108/LtFtgL,"""Public finances"", ""Publicly owned enterprises"", ""County councils enterprises by county and sector. Year 2015 - 2022"""
/OE/OE0108/KomFtgK,"""Public finances"", ""Publicly owned enterprises"", ""Data for municipality-owned enterprises by region. Year 2015 - 2022"""
/OE/OE0108/OffEkoMottSektor,"""Public finances"", ""Publicly owned enterprises"", ""Publicly owned enterprises and economic facts by sector, type of ownership and economic activity  SNI 2007. Year 2015 - 2022"""
/OE/OE0108/OffResultSektor,"""Public finances"", ""Publicly owned enterprises"", ""Income statement for publicly owned enterprises by sector, type of ownership and economic activity  SNI 2007. Year 2015 - 2022"""
/OE/OE0108/OffSkulderSektor,"""Public finances"", ""Publicly owned enterprises"", ""Liabilities and equity for publicly owned enterprises by sector, type of ownership and economic activity  SNI 2007. Year 2015 - 2022"""
/OE/OE0108/OffTillgSektor,"""Public finances"", ""Publicly owned enterprises"", ""Assets in publicly owned enterprises by sector, type of ownership and industry SNI 2007. Year 2015 - 2022"""
/OE/OE0112/OE0112T06,"""Public finances"", ""Financiers and providers within education, health care and social services"", ""Number of providers by county council and activity. Year 2013 - 2022"""
/OE/OE0112/OE0112T05B,"""Public finances"", ""Financiers and providers within education, health care and social services"", ""Number of providers by municipalities and activity and region. Year 2013 - 2022"""
/OE/OE0701/ForvInkomsterAN,"""Public finances"", ""Tax assessment"", ""Assessed and taxable earned income, individuals, by region. Assessment year 1992 - 2021"""
/OE/OE0701/ForvInkomsterB,"""Public finances"", ""Tax assessment"", ""Assessed and taxable earned income and number of individuals and legal entities, all taxpayers, by region. Assessment year 1992 - 2021"""
/OE/OE0701/KapInkomsterA,"""Public finances"", ""Tax assessment"", ""Assessment for national capital income tax, individuals, by region. Assessment year 1992 - 2021"""
/OE/OE0701/DebSkatterAvgifterC,"""Public finances"", ""Tax assessment"", ""Debited taxes and fees as well as tax credits, individuals, all of Sweden. SEK millions, assessment years 2000 - 2021"""
/OE/OE0701/SkatteredukSpec,"""Public finances"", ""Tax assessment"", ""Specification of tax credits, individuals, all of Sweden. SEK millions, assessment years 2000 - 2021"""
